Time,ID,AccX(G), AccY, AccZ,GyrX(dps), GyrY, GyrZ,MagX(uT), MagY, MagZ,Roll(deg), Pitch, Yaw,Pressure
13-55-42.955,1,0.049,-0.011,1.006,0,0,0,17.9,-27.2,-27.4,-0.5,-2.75,0,0
13-55-42.959,1,0.045,-0.007,1.013,0,-0.1,0,18,-27.1,-27.5,-0.5,-2.75,0,0
13-55-42.965,1,0.045,-0.007,1.017,0,0,0,18,-27.1,-27.5,-0.5,-2.75,0,0
13-55-42.969,1,0.049,-0.011,1.01,0,0,0,18.4,-27.1,-26.9,-0.5,-2.75,0,0
13-55-42.976,1,0.049,-0.007,1.006,0,0,0,18.4,-27.1,-26.9,-0.5,-2.75,0,0
13-55-42.980,1,0.053,-0.007,1.01,0,0,0,18.4,-27.2,-27.3,-0.5,-2.75,0,0
13-55-42.985,1,0.049,-0.011,1.014,0,0,0,18.4,-27.2,-27.3,-0.5,-2.75,0,0
13-55-42.991,1,0.045,-0.007,1.002,0,0,0,18.3,-27.1,-27.3,-0.5,-2.75,0,0
13-55-42.994,1,0.053,-0.011,1.01,0,0,-0.1,18.3,-27.1,-27.3,-0.5,-2.75,0,0
13-55-43.000,1,0.049,-0.007,1.01,0,0,0,18.3,-26.9,-26.7,-0.5,-2.75,0,0
13-55-43.005,1,0.049,-0.007,1.01,0,0.1,0.1,18.3,-26.9,-26.7,-0.5,-2.75,0,0
13-55-43.010,1,0.049,-0.007,1.01,0,0,0,18.1,-26.8,-27,-0.5,-2.75,0,0
13-55-43.015,1,0.045,-0.007,1.013,0.1,0,0,18.1,-26.8,-27,-0.5,-2.75,0,0
13-55-43.020,1,0.045,-0.007,1.006,0,0,0,18.4,-27.1,-27.3,-0.5,-2.75,0,0
13-55-43.025,1,0.049,-0.007,1.014,0,0,0,18.4,-27.1,-27.3,-0.5,-2.75,0,0
13-55-43.030,1,0.048,-0.007,1.002,0.1,-0.3,0,18.5,-27,-27.1,-0.5,-2.75,0,0
13-55-43.034,1,0.049,-0.011,1.01,0,-0.2,0,18.5,-27,-27.1,-0.49,-2.75,0,0
13-55-43.040,1,0.045,-0.007,1.01,0,-0.1,0,18.3,-27.3,-27.1,-0.49,-2.75,0,0
13-55-43.044,1,0.045,-0.011,1.01,0,0,0,18.3,-27.3,-27.1,-0.49,-2.75,0,0
13-55-43.049,1,0.045,-0.007,1.013,0,0.1,0,18.3,-27.2,-26.8,-0.49,-2.75,0,0
13-55-43.054,1,0.048,-0.015,1.002,0,0.1,0,18.3,-27.2,-26.8,-0.49,-2.74,0,0
13-55-43.061,1,0.045,-0.007,1.013,0,0.1,0.1,18.2,-27.2,-26.7,-0.49,-2.74,0,0
13-55-43.065,1,0.049,-0.011,1.006,0,0,0,18.2,-27.2,-26.7,-0.49,-2.74,0,0
13-55-43.070,1,0.049,-0.011,1.021,0,0,0,18.5,-27,-27.1,-0.49,-2.74,0,0
13-55-43.075,1,0.052,-0.011,1.006,0,0,0,18.5,-27,-27.1,-0.49,-2.74,0,0
13-55-43.079,1,0.049,-0.007,1.01,0,-0.1,0,18.2,-27.1,-27.2,-0.5,-2.74,0,0
13-55-43.085,1,0.06,-0.003,1.01,0,-0.1,0.1,18.2,-27.1,-27.2,-0.5,-2.74,0,0
13-55-43.090,1,0.049,-0.011,1.01,0,-0.1,0,18.3,-27.4,-26.8,-0.5,-2.74,0,0
13-55-43.094,1,0.049,-0.007,1.01,0,0,-0.1,18.3,-27.4,-26.8,-0.5,-2.75,0,0
13-55-43.100,1,0.045,-0.007,1.01,0,0,0,18.2,-27.6,-27.1,-0.5,-2.75,0,0
13-55-43.104,1,0.049,-0.007,1.01,-0.1,0,0,18.2,-27.6,-27.1,-0.5,-2.75,0,0
13-55-43.110,1,0.049,-0.011,1.01,0,-0.2,0,18.3,-27.4,-26.5,-0.5,-2.75,0,0
13-55-43.115,1,0.049,-0.007,1.01,0,-0.1,0,18.3,-27.4,-26.5,-0.5,-2.75,0,0
13-55-43.120,1,0.045,-0.007,1.01,0,0,0,18.5,-27.4,-26.7,-0.5,-2.75,0,0
13-55-43.125,1,0.049,-0.007,1.014,0,0,0,18.5,-27.4,-26.7,-0.5,-2.75,0,0
13-55-43.129,1,0.049,-0.007,1.01,0,0,0,18.4,-27.4,-27.1,-0.5,-2.75,0,0
13-55-43.134,1,0.045,-0.007,1.01,-0.1,-0.1,0,18.4,-27.4,-27.1,-0.5,-2.75,0,0
13-55-43.140,1,0.045,-0.011,1.013,0,-0.2,0,18.4,-27.2,-27.1,-0.5,-2.75,0,0
13-55-43.144,1,0.049,-0.011,1.006,0,-0.1,0,18.4,-27.2,-27.1,-0.49,-2.75,0,0
13-55-43.149,1,0.052,-0.007,1.006,0,0,0,18.2,-26.9,-26.9,-0.49,-2.75,0,0
13-55-43.153,1,0.049,-0.007,1.006,0,-0.1,0,18.2,-26.9,-26.9,-0.5,-2.75,0,0
13-55-43.159,1,0.049,-0.011,1.01,0,0,0,18,-27,-27.2,-0.49,-2.75,0,0
13-55-43.164,1,0.049,-0.007,1.006,-0.1,0,0.1,18,-27,-27.2,-0.49,-2.75,0,0
13-55-43.169,1,0.053,-0.007,1.01,-0.1,0,0,18.3,-27.1,-26.5,-0.5,-2.75,0,0
13-55-43.174,1,0.049,-0.007,1.01,0,0,-0.1,18.3,-27.1,-26.5,-0.5,-2.75,0,0
13-55-43.180,1,0.049,-0.007,1.014,0,0.3,0,18.5,-27,-26.7,-0.5,-2.75,0,0
13-55-43.185,1,0.049,-0.007,1.01,0,0.1,0,18.5,-27,-26.7,-0.49,-2.75,0,0
13-55-43.188,1,0.049,-0.011,1.006,0,0,0,18.4,-27.4,-27,-0.49,-2.75,0,0
13-55-43.194,1,0.049,-0.015,1.014,0,0,0,18.4,-27.4,-27,-0.49,-2.76,0,0
13-55-43.200,1,0.045,-0.015,1.01,0,0.1,0.1,18.7,-27.5,-26.6,-0.49,-2.75,0,0
13-55-43.204,1,0.045,-0.015,1.01,0,0.2,0.1,18.7,-27.5,-26.6,-0.49,-2.75,0,0
13-55-43.209,1,0.045,-0.007,1.013,-0.1,0.1,0,18.4,-26.8,-27.1,-0.49,-2.75,0,0
13-55-43.214,1,0.049,-0.011,1.01,0,0,-0.2,18.4,-26.8,-27.1,-0.5,-2.75,0,0
13-55-43.219,1,0.045,-0.007,1.01,0,0,-0.1,18.4,-27.1,-27.3,-0.5,-2.75,0,0
13-55-43.224,1,0.045,-0.011,1.013,0.1,0.1,0,18.4,-27.1,-27.3,-0.5,-2.75,0,0
13-55-43.230,1,0.049,-0.011,1.006,0.1,0,0.1,18.6,-27,-26.8,-0.5,-2.75,0,0
13-55-43.234,1,0.049,-0.007,1.006,0,0,0,18.6,-27,-26.8,-0.5,-2.75,0,0
13-55-43.240,1,0.053,-0.007,1.017,0,0,0,18.4,-27.3,-26.9,-0.5,-2.75,0,0
13-55-43.245,1,0.052,-0.007,1.006,0,-0.2,0,18.4,-27.3,-26.9,-0.5,-2.75,0,0
13-55-43.249,1,0.053,-0.007,1.01,0,0,0,18.4,-26.8,-27.1,-0.5,-2.75,0,0
13-55-43.254,1,0.052,-0.007,1.006,0,0,0,18.4,-26.8,-27.1,-0.5,-2.75,0,0
13-55-43.259,1,0.056,-0.007,1.01,0,-0.1,0,18.6,-26.9,-26.9,-0.5,-2.75,0,0
13-55-43.264,1,0.049,-0.007,1.014,0.1,-0.1,0,18.6,-26.9,-26.9,-0.5,-2.75,0,0
13-55-43.269,1,0.049,-0.011,1.01,0,0,0,18.1,-27.1,-26.9,-0.5,-2.75,0,0
13-55-43.274,1,0.049,-0.007,1.01,0,0,-0.1,18.1,-27.1,-26.9,-0.5,-2.76,0,0
13-55-43.280,1,0.049,-0.003,1.002,0,-0.2,-0.2,18.4,-27.1,-26.9,-0.5,-2.76,0,0
13-55-43.284,1,0.045,-0.011,1.013,-0.1,-0.1,0,18.4,-27.1,-26.9,-0.5,-2.76,0,0
13-55-43.289,1,0.053,-0.011,1.014,0,0,0,18.6,-27.2,-26.7,-0.5,-2.76,0,0
13-55-43.294,1,0.049,-0.011,1.01,0,0.1,0,18.6,-27.2,-26.7,-0.5,-2.76,0,0
13-55-43.299,1,0.045,-0.007,1.013,0,0,0,18.8,-27.3,-26.9,-0.5,-2.76,0,0
13-55-43.304,1,0.049,-0.007,1.01,0,0,0,18.8,-27.3,-26.9,-0.5,-2.76,0,0
13-55-43.309,1,0.049,-0.007,1.01,-0.1,0.1,0,18.3,-27,-26.9,-0.5,-2.76,0,0
13-55-43.315,1,0.049,-0.007,1.014,0,0.3,0,18.3,-27,-26.9,-0.5,-2.75,0,0
13-55-43.319,1,0.048,-0.007,1.002,0,0.1,0.1,18.5,-27.3,-27.2,-0.5,-2.75,0,0
13-55-43.324,1,0.049,-0.003,1.01,0,0,0.1,18.5,-27.3,-27.2,-0.5,-2.75,0,0
13-55-43.330,1,0.049,-0.007,1.01,0,-0.1,0,18.3,-27,-26.8,-0.5,-2.75,0,0
13-55-43.334,1,0.049,-0.011,1.01,0,0,0.1,18.3,-27,-26.8,-0.5,-2.75,0,0
13-55-43.340,1,0.049,-0.003,1.002,0,0.1,0.1,18.3,-27,-27,-0.5,-2.75,0,0
13-55-43.344,1,0.049,-0.011,1.01,0,0,0,18.3,-27,-27,-0.5,-2.75,0,0
13-55-43.350,1,0.045,-0.007,1.01,0.1,0,0,18.5,-27.5,-27,-0.5,-2.75,0,0
13-55-43.354,1,0.045,-0.015,1.01,0,0.1,0,18.5,-27.5,-27,-0.5,-2.75,0,0
13-55-43.359,1,0.045,-0.011,1.01,0,0.1,0.1,18.1,-27.5,-26.8,-0.5,-2.75,0,0
13-55-43.364,1,0.049,-0.007,1.01,-0.1,0.1,0,18.1,-27.5,-26.8,-0.5,-2.75,0,0
13-55-43.369,1,0.041,-0.011,1.009,-0.1,0,0,18.2,-27.2,-26.9,-0.5,-2.75,0,0
13-55-43.375,1,0.045,-0.011,1.013,-0.1,0,0,18.2,-27.2,-26.9,-0.5,-2.75,0,0
13-55-43.380,1,0.045,-0.007,1.006,0,0,0,17.8,-27,-26.8,-0.5,-2.75,0,0
13-55-43.385,1,0.052,-0.007,1.006,0.1,0.1,0,17.8,-27,-26.8,-0.5,-2.74,0,0
13-55-43.390,1,0.049,-0.011,1.014,0,0.1,0,18.4,-27.1,-26.8,-0.5,-2.74,0,0
13-55-43.394,1,0.045,-0.015,1.006,0,0.2,-0.1,18.4,-27.1,-26.8,-0.5,-2.74,0,0
13-55-43.400,1,0.045,-0.011,1.01,-0.1,0.1,0,18.2,-27,-27.2,-0.5,-2.74,0,0
13-55-43.404,1,0.053,-0.007,1.014,0,0,0,18.2,-27,-27.2,-0.5,-2.74,0,0
13-55-43.410,1,0.053,-0.011,1.01,0.1,0.1,0,18.6,-27.1,-27,-0.5,-2.74,0,0
13-55-43.415,1,0.053,-0.007,1.01,0,0.1,0,18.6,-27.1,-27,-0.5,-2.74,0,0
13-55-43.419,1,0.053,-0.007,1.014,-0.1,0,0,18.5,-26.9,-27,-0.5,-2.74,0,0
13-55-43.425,1,0.049,-0.003,1.006,-0.1,-0.1,0,18.5,-26.9,-27,-0.5,-2.74,0,0
13-55-43.430,1,0.053,-0.003,1.01,0,-0.2,-0.2,18.5,-27,-27.1,-0.5,-2.74,0,0
13-55-43.434,1,0.049,-0.011,1.01,0.1,-0.1,0,18.5,-27,-27.1,-0.5,-2.74,0,0
13-55-43.440,1,0.045,-0.011,1.017,0,0,0,18.3,-27.4,-27,-0.5,-2.74,0,0
13-55-43.445,1,0.049,-0.007,1.006,0,0.1,0,18.3,-27.4,-27,-0.5,-2.75,0,0
